symbol,shares,as_of,source
ANDHRSUGAR,135535390,2026-07-12,yfinance_fast_info
ANGELONE,913518960,2026-07-12,yfinance_fast_info
ANMOL,56914150,2026-07-12,yfinance_fast_info
ANTELOPUS,35162358,2026-07-12,yfinance_fast_info
ANTGRAPHIC,155009600,2026-07-12,yfinance_fast_info
ANTHEM,561713851,2026-07-12,yfinance_fast_info
ANUHPHR,100224000,2026-07-12,yfinance_fast_info
ANUP,20031466,2026-07-12,yfinance_fast_info
ANURAS,113848310,2026-07-12,yfinance_fast_info
APARINDS,40174235,2026-07-12,yfinance_fast_info
APCL,29374764,2026-07-12,yfinance_fast_info
APCOTEXIND,51844960,2026-07-12,yfinance_fast_info
APEX,31250000,2026-07-12,yfinance_fast_info
APLAPOLLO,277658405,2026-07-12,yfinance_fast_info
APLLTD,196563124,2026-07-12,yfinance_fast_info
APOLLO,371599512,2026-07-12,yfinance_fast_info
APOLLOHOSP,143784657,2026-07-12,yfinance_fast_info
APOLLOPIPE,43919356,2026-07-12,yfinance_fast_info
APOLLOTYRE,632581334,2026-07-12,yfinance_fast_info
APOLSINHOT,2600400,2026-07-12,yfinance_fast_info
APTUS,500792736,2026-07-12,yfinance_fast_info
AQYLON,253730560,2026-07-12,yfinance_fast_info
ARCHIDPLY,20002967,2026-07-12,yfinance_fast_info
ARCHIES,33780000,2026-07-12,yfinance_fast_info
ARE&M,183025364,2026-07-12,yfinance_fast_info
ARENTERP,3233841,2026-07-12,yfinance_fast_info
ARFIN,168722482,2026-07-12,yfinance_fast_info
ARIES,13004339,2026-07-12,yfinance_fast_info
ARIHANT,10862497,2026-07-12,yfinance_fast_info
ARIHANTCAP,109612400,2026-07-12,yfinance_fast_info
ARIHANTSUP,43249991,2026-07-12,yfinance_fast_info
ARIS,81793846,2026-07-12,yfinance_fast_info
ARKADE,185663617,2026-07-12,yfinance_fast_info
ARMANFIN,10514761,2026-07-12,yfinance_fast_info
AROGRANITE,15300000,2026-07-12,yfinance_fast_info
ARSSBL,63026300,2026-07-12,yfinance_fast_info
ARTNIRMAN,24956000,2026-07-12,yfinance_fast_info
ARVEE,11020000,2026-07-12,yfinance_fast_info
ARVIND,262114640,2026-07-12,yfinance_fast_info
ARVINDFASN,133654989,2026-07-12,yfinance_fast_info
ARVSMART,45866979,2026-07-12,yfinance_fast_info
ASAHIINDIA,254927192,2026-07-12,yfinance_fast_info
ASAHISONG,11787262,2026-07-12,yfinance_fast_info
ASAL,15864397,2026-07-12,yfinance_fast_info
ASALCBR,20079200,2026-07-12,yfinance_fast_info
ASHAPURMIN,95526098,2026-07-12,yfinance_fast_info
ASHIANA,100524857,2026-07-12,yfinance_fast_info
ASHIMASYN,191660078,2026-07-12,yfinance_fast_info
ASHOKA,280723217,2026-07-12,yfinance_fast_info
ASHOKAMET,24996000,2026-07-12,yfinance_fast_info
ASHOKLEY,5873854552,2026-07-12,yfinance_fast_info
ASIANENE,48591378,2026-07-12,yfinance_fast_info
ASIANHOTNR,42633229,2026-07-12,yfinance_fast_info
ASIANPAINT,958644295,2026-07-12,yfinance_fast_info
ASIANTILES,296475285,2026-07-12,yfinance_fast_info
ASKAUTOLTD,197142600,2026-07-12,yfinance_fast_info
ASPINWALL,7818288,2026-07-12,yfinance_fast_info
ASTEC,22282238,2026-07-12,yfinance_fast_info
ASTERDM,516939399,2026-07-12,yfinance_fast_info
ASTRAL,268650163,2026-07-12,yfinance_fast_info
ASTRAMICRO,94945008,2026-07-12,yfinance_fast_info
ASTRAZEN,25000000,2026-07-12,yfinance_fast_info
ATALREAL,123896250,2026-07-12,yfinance_fast_info
ATAM,11463000,2026-07-12,yfinance_fast_info
ATGL,1099810083,2026-07-12,yfinance_fast_info
ATHERENERG,383310002,2026-07-12,yfinance_fast_info
ATL,291859323,2026-07-12,yfinance_fast_info
ATLANTAA,81500000,2026-07-12,yfinance_fast_info
ATLANTAELE,76896625,2026-07-12,yfinance_fast_info
ATLASCYCLE,6503838,2026-07-12,yfinance_fast_info
ATUL,29441755,2026-07-12,yfinance_fast_info
ATULAUTO,27751280,2026-07-12,yfinance_fast_info
AUBANK,748358789,2026-07-12,yfinance_fast_info
AURIONPRO,55213530,2026-07-12,yfinance_fast_info
AUROPHARMA,575377895,2026-07-12,yfinance_fast_info
AURUM,76245427,2026-07-12,yfinance_fast_info
AUTOAXLES,15111971,2026-07-12,yfinance_fast_info
AVALON,66811755,2026-07-12,yfinance_fast_info
AVANTEL,265710850,2026-07-12,yfinance_fast_info
AVANTIFEED,136245630,2026-07-12,yfinance_fast_info
AVL,129138050,2026-07-12,yfinance_fast_info
AVONMORE,282184741,2026-07-12,yfinance_fast_info
AVROIND,134171400,2026-07-12,yfinance_fast_info
AVTNPL,152284000,2026-07-12,yfinance_fast_info
AWFIS,71563186,2026-07-12,yfinance_fast_info
AWHCL,28371681,2026-07-12,yfinance_fast_info
AWL,1293347191,2026-07-12,yfinance_fast_info
AXISBANK,3110915678,2026-07-12,yfinance_fast_info
AXISCADES,42530989,2026-07-12,yfinance_fast_info
AXITA,382673533,2026-07-12,yfinance_fast_info
AYE,244551762,2026-07-12,yfinance_fast_info
AYMSYNTEX,58734091,2026-07-12,yfinance_fast_info
AZAD,64581743,2026-07-12,yfinance_fast_info
BAGFILMS,217918090,2026-07-12,yfinance_fast_info
BAIDFIN,154888107,2026-07-12,yfinance_fast_info
BAJAJCON,130618321,2026-07-12,yfinance_fast_info
BAJAJELEC,115392769,2026-07-12,yfinance_fast_info
BAJAJFINSV,1598733368,2026-07-12,yfinance_fast_info
BAJAJHCARE,33662661,2026-07-12,yfinance_fast_info
BAJAJHFL,8328662006,2026-07-12,yfinance_fast_info
BAJAJHIND,2357786041,2026-07-12,yfinance_fast_info
BAJAJHLDNG,111293510,2026-07-12,yfinance_fast_info
BAJAJINDEF,32000000,2026-07-12,yfinance_fast_info
BAJEL,115696935,2026-07-12,yfinance_fast_info
BAJFINANCE,6217876336,2026-07-12,yfinance_fast_info
BALAJEE,81570852,2026-07-12,yfinance_fast_info
BALAJITELE,121902291,2026-07-12,yfinance_fast_info
BALAMINES,32401000,2026-07-12,yfinance_fast_info
BALKRISHNA,32219532,2026-07-12,yfinance_fast_info
BALKRISIND,193317190,2026-07-12,yfinance_fast_info
BALMLAWRIE,171003846,2026-07-12,yfinance_fast_info
BALPHARMA,15920872,2026-07-12,yfinance_fast_info
BALRAMCHIN,211267207,2026-07-12,yfinance_fast_info
BALUFORGE,114991900,2026-07-12,yfinance_fast_info
BANARBEADS,6597522,2026-07-12,yfinance_fast_info
BANARISUG,12539700,2026-07-12,yfinance_fast_info
BANCOINDIA,143037300,2026-07-12,yfinance_fast_info
BANDHANBNK,1611078000,2026-07-12,yfinance_fast_info
BANG,13560000,2026-07-12,yfinance_fast_info
BANKBARODA,5171362179,2026-07-12,yfinance_fast_info
BANKINDIA,4552667866,2026-07-12,yfinance_fast_info
BANSALWIRE,156555952,2026-07-12,yfinance_fast_info
BANSWRAS,34232084,2026-07-12,yfinance_fast_info
BASF,43285640,2026-07-12,yfinance_fast_info
BATAINDIA,128527540,2026-07-12,yfinance_fast_info
BATLIBOI,47221840,2026-07-12,yfinance_fast_info
BAYERCROP,44942092,2026-07-12,yfinance_fast_info
BBL,11303120,2026-07-12,yfinance_fast_info
BBOX,177599205,2026-07-12,yfinance_fast_info
BBTC,69771900,2026-07-12,yfinance_fast_info
BBTCL,20511240,2026-07-12,yfinance_fast_info
BCG,2018521873,2026-07-12,yfinance_fast_info
BCLIND,295163340,2026-07-12,yfinance_fast_info
BCONCEPTS,12481877,2026-07-12,yfinance_fast_info
BCPL,16723638,2026-07-12,yfinance_fast_info
BDL,366562500,2026-07-12,yfinance_fast_info
BEARDSELL,39437000,2026-07-12,yfinance_fast_info
BECTORFOOD,306990595,2026-07-12,yfinance_fast_info
BEDMUTHA,32263884,2026-07-12,yfinance_fast_info
BEL,7309778829,2026-07-12,yfinance_fast_info
BELLACASA,13387500,2026-07-12,yfinance_fast_info
BELRISE,889879192,2026-07-12,yfinance_fast_info
BEML,83289000,2026-07-12,yfinance_fast_info
BEPL,248858460,2026-07-12,yfinance_fast_info
BERGEPAINT,1166002812,2026-07-12,yfinance_fast_info
BESTAGRO,354671100,2026-07-12,yfinance_fast_info
BETA,10094553,2026-07-12,yfinance_fast_info
BFINVEST,37667628,2026-07-12,yfinance_fast_info
BFUTILITIE,37667628,2026-07-12,yfinance_fast_info
BHAGCHEM,129669080,2026-07-12,yfinance_fast_info
BHARATFORG,478088632,2026-07-12,yfinance_fast_info
BHARATRAS,16621072,2026-07-12,yfinance_fast_info
BHARATSE,62800000,2026-07-12,yfinance_fast_info
BHARATWIRE,68622914,2026-07-12,yfinance_fast_info
BHARTIARTL,6238658094,2026-07-12,yfinance_fast_info
BHARTIHEXA,500000000,2026-07-12,yfinance_fast_info
BHEL,3482063355,2026-07-12,yfinance_fast_info
BIGBLOC,141575750,2026-07-12,yfinance_fast_info
BIKAJI,250736400,2026-07-12,yfinance_fast_info
BIL,13410411,2026-07-12,yfinance_fast_info
BIMETAL,3825000,2026-07-12,yfinance_fast_info
BIOCON,1628293737,2026-07-12,yfinance_fast_info
BIOFILCHEM,16273800,2026-07-12,yfinance_fast_info
BIRLACORPN,77005347,2026-07-12,yfinance_fast_info
BIRLAMONEY,56509201,2026-07-12,yfinance_fast_info
BIRLANU,7540899,2026-07-12,yfinance_fast_info
BLACKBUCK,182138576,2026-07-12,yfinance_fast_info
BLAL,41644500,2026-07-12,yfinance_fast_info
BLBLIMITED,52865258,2026-07-12,yfinance_fast_info
BLKASHYAP,225482408,2026-07-12,yfinance_fast_info
BLS,411522253,2026-07-12,yfinance_fast_info
BLSE,90654077,2026-07-12,yfinance_fast_info
BLUEDART,23727934,2026-07-12,yfinance_fast_info
BLUEJET,173465425,2026-07-12,yfinance_fast_info
BLUESTARCO,205592636,2026-07-12,yfinance_fast_info
BLUESTONE,152401781,2026-07-12,yfinance_fast_info
BLUSPRING,149440980,2026-07-12,yfinance_fast_info
BMWVENTLTD,86715000,2026-07-12,yfinance_fast_info
BOHRAIND,10297152,2026-07-12,yfinance_fast_info
BOMDYEING,206534900,2026-07-12,yfinance_fast_info
BONLON,16383358,2026-07-12,yfinance_fast_info
BORANA,26645295,2026-07-12,yfinance_fast_info
BOROLTD,119587629,2026-07-12,yfinance_fast_info
BORORENEW,140283183,2026-07-12,yfinance_fast_info
BOROSCI,88947050,2026-07-12,yfinance_fast_info
BOSCHLTD,29496100,2026-07-12,yfinance_fast_info
BPCL,4272584874,2026-07-12,yfinance_fast_info
BPL,48975751,2026-07-12,yfinance_fast_info
BRIGADE,326162379,2026-07-12,yfinance_fast_info
BRIGHOTEL,379842565,2026-07-12,yfinance_fast_info
BRITANNIA,240868296,2026-07-12,yfinance_fast_info
BRNL,83950000,2026-07-12,yfinance_fast_info
BSE,406129077,2026-07-12,yfinance_fast_info
BSL,10292168,2026-07-12,yfinance_fast_info
BSOFT,279579589,2026-07-12,yfinance_fast_info
BTML,181697777,2026-07-12,yfinance_fast_info
BUILDPRO,24249326,2026-07-12,yfinance_fast_info
BUTTERFLY,17879551,2026-07-12,yfinance_fast_info
BVCL,22160000,2026-07-12,yfinance_fast_info
CAMLINFINE,192091613,2026-07-12,yfinance_fast_info
CAMPUS,305653746,2026-07-12,yfinance_fast_info
CAMS,248204728,2026-07-12,yfinance_fast_info
CANBK,9070651260,2026-07-12,yfinance_fast_info
CANFINHOME,133154591,2026-07-12,yfinance_fast_info
CANHLIFE,947484925,2026-07-12,yfinance_fast_info
