symbol,shares,as_of,source
EIMCOELECO,5768385,2026-07-12,yfinance_fast_info
EKC,112207682,2026-07-12,yfinance_fast_info
ELANTAS,7927682,2026-07-12,yfinance_fast_info
ELDEHSG,9833000,2026-07-12,yfinance_fast_info
ELECON,224399930,2026-07-12,yfinance_fast_info
ELECTCAST,618184591,2026-07-12,yfinance_fast_info
ELECTHERM,12742814,2026-07-12,yfinance_fast_info
ELGIEQUIP,315241478,2026-07-12,yfinance_fast_info
ELGIRUBCO,50050000,2026-07-12,yfinance_fast_info
ELIN,49709220,2026-07-12,yfinance_fast_info
ELLEN,140935600,2026-07-12,yfinance_fast_info
ELPROINTL,169479130,2026-07-12,yfinance_fast_info
EMAMILTD,436500000,2026-07-12,yfinance_fast_info
EMAMIPAP,60499050,2026-07-12,yfinance_fast_info
EMBDL,1390033433,2026-07-12,yfinance_fast_info
EMCURE,189680147,2026-07-12,yfinance_fast_info
EMIL,384748762,2026-07-12,yfinance_fast_info
EMKAY,27330131,2026-07-12,yfinance_fast_info
EMMVEE,692345033,2026-07-12,yfinance_fast_info
EMSLIMITED,55530807,2026-07-12,yfinance_fast_info
EMUDHRA,82043531,2026-07-12,yfinance_fast_info
ENDURANCE,140662848,2026-07-12,yfinance_fast_info
ENERGYDEV,47500000,2026-07-12,yfinance_fast_info
ENGINERSIN,562042373,2026-07-12,yfinance_fast_info
ENIL,47670415,2026-07-12,yfinance_fast_info
ENRIN,356120505,2026-07-12,yfinance_fast_info
ENTERO,43523072,2026-07-12,yfinance_fast_info
EPACK,96228477,2026-07-12,yfinance_fast_info
EPACKPEB,100631006,2026-07-12,yfinance_fast_info
EPIGRAL,43141338,2026-07-12,yfinance_fast_info
EPL,320297659,2026-07-12,yfinance_fast_info
EQUITASBNK,1143896368,2026-07-12,yfinance_fast_info
ERIS,138578489,2026-07-12,yfinance_fast_info
ESABINDIA,15393020,2026-07-12,yfinance_fast_info
ESAFSFB,515951795,2026-07-12,yfinance_fast_info
ESCORTS,110027390,2026-07-12,yfinance_fast_info
ESSARSHPNG,207884526,2026-07-12,yfinance_fast_info
ESTER,104295042,2026-07-12,yfinance_fast_info
ETERNAL,9205393097,2026-07-12,yfinance_fast_info
ETHOSLTD,26757693,2026-07-12,yfinance_fast_info
EUREKAFORB,193506816,2026-07-12,yfinance_fast_info
EUROBOND,24500000,2026-07-12,yfinance_fast_info
EUROPRATIK,102200000,2026-07-12,yfinance_fast_info
EVEREADY,72687260,2026-07-12,yfinance_fast_info
EXCELINDUS,12570692,2026-07-12,yfinance_fast_info
EXCELSOFT,115084164,2026-07-12,yfinance_fast_info
EXICOM,139079771,2026-07-12,yfinance_fast_info
EXIDEIND,850000000,2026-07-12,yfinance_fast_info
EXPLEOSOL,15519739,2026-07-12,yfinance_fast_info
EXXARO,447410700,2026-07-12,yfinance_fast_info
FABTECH,44450794,2026-07-12,yfinance_fast_info
FACT,647071974,2026-07-12,yfinance_fast_info
FAZE3Q,24270922,2026-07-12,yfinance_fast_info
FCL,1164500900,2026-07-12,yfinance_fast_info
FDC,162810084,2026-07-12,yfinance_fast_info
FEDERALBNK,2466602623,2026-07-12,yfinance_fast_info
FEDFINA,374906081,2026-07-12,yfinance_fast_info
FIBERWEB,28791710,2026-07-12,yfinance_fast_info
FIEMIND,26319660,2026-07-12,yfinance_fast_info
FILATEX,444058375,2026-07-12,yfinance_fast_info
FINCABLES,152939345,2026-07-12,yfinance_fast_info
FINEORG,30659976,2026-07-12,yfinance_fast_info
FINKURVE,140143988,2026-07-12,yfinance_fast_info
FINOPB,83218402,2026-07-12,yfinance_fast_info
FINPIPE,618313905,2026-07-12,yfinance_fast_info
FIRSTCRY,485359263,2026-07-12,yfinance_fast_info
FISCHER,654515470,2026-07-12,yfinance_fast_info
FIVESTAR,295187968,2026-07-12,yfinance_fast_info
FLAIR,105395378,2026-07-12,yfinance_fast_info
FLUOROCHEM,109850000,2026-07-12,yfinance_fast_info
FMGOETZE,55632130,2026-07-12,yfinance_fast_info
FOODSIN,73531558,2026-07-12,yfinance_fast_info
FORCEMOT,13176262,2026-07-12,yfinance_fast_info
FORTIS,754958148,2026-07-12,yfinance_fast_info
FOSECOIND,7574647,2026-07-12,yfinance_fast_info
FRACTAL,171965112,2026-07-12,yfinance_fast_info
FSL,690535266,2026-07-12,yfinance_fast_info
FUSION,161716337,2026-07-12,yfinance_fast_info
GABRIEL,177230023,2026-07-12,yfinance_fast_info
GAEL,458670660,2026-07-12,yfinance_fast_info
GAIL,6575079643,2026-07-12,yfinance_fast_info
GALAPREC,12816200,2026-07-12,yfinance_fast_info
GALAXYSURF,36574793,2026-07-12,yfinance_fast_info
GALLANTT,241280945,2026-07-12,yfinance_fast_info
GANDHAR,97879530,2026-07-12,yfinance_fast_info
GANDHITUBE,12152000,2026-07-12,yfinance_fast_info
GANECOS,26762770,2026-07-12,yfinance_fast_info
GANESHBE,71989421,2026-07-12,yfinance_fast_info
GANESHCP,40412946,2026-07-12,yfinance_fast_info
GANESHHOU,83387090,2026-07-12,yfinance_fast_info
GANGESSECU,10003687,2026-07-12,yfinance_fast_info
GARFIBRES,97648345,2026-07-12,yfinance_fast_info
GARUDA,93041742,2026-07-12,yfinance_fast_info
GATECH,1292408130,2026-07-12,yfinance_fast_info
GATECHDVR,1292408130,2026-07-12,yfinance_fast_info
GATEWAY,499643836,2026-07-12,yfinance_fast_info
GAYAHWS,239651900,2026-07-12,yfinance_fast_info
GCSL,22639347,2026-07-12,yfinance_fast_info
GEEKAYWIRE,104520000,2026-07-12,yfinance_fast_info
GEMAROMA,52237138,2026-07-12,yfinance_fast_info
GENCON,56986219,2026-07-12,yfinance_fast_info
GENESYS,41790377,2026-07-12,yfinance_fast_info
GENUSPAPER,257125940,2026-07-12,yfinance_fast_info
GENUSPOWER,276598765,2026-07-12,yfinance_fast_info
GEOJITFSL,279122119,2026-07-12,yfinance_fast_info
GESHIP,142769679,2026-07-12,yfinance_fast_info
GFLLIMITED,109850000,2026-07-12,yfinance_fast_info
GHCL,91664382,2026-07-12,yfinance_fast_info
GHCLTEXTIL,95585786,2026-07-12,yfinance_fast_info
GICHSGFIN,53851066,2026-07-12,yfinance_fast_info
GICL,111954588,2026-07-12,yfinance_fast_info
GICRE,1754400000,2026-07-12,yfinance_fast_info
GILLANDERS,21342346,2026-07-12,yfinance_fast_info
GILLETTE,32585217,2026-07-12,yfinance_fast_info
GIPCL,155215944,2026-07-12,yfinance_fast_info
GKENERGY,202817266,2026-07-12,yfinance_fast_info
GKSL,78843250,2026-07-12,yfinance_fast_info
GKWLIMITED,5966500,2026-07-12,yfinance_fast_info
GLAND,164959682,2026-07-12,yfinance_fast_info
GLAXO,169406034,2026-07-12,yfinance_fast_info
GLENMARK,282200809,2026-07-12,yfinance_fast_info
GLOBAL,50901500,2026-07-12,yfinance_fast_info
GLOBALVECT,14000000,2026-07-12,yfinance_fast_info
GLOBE,450418788,2026-07-12,yfinance_fast_info
GLOBUSSPR,29067968,2026-07-12,yfinance_fast_info
GLOSTERLTD,10943260,2026-07-12,yfinance_fast_info
GMBREW,22846923,2026-07-12,yfinance_fast_info
GMDCLTD,318000000,2026-07-12,yfinance_fast_info
GMMPFAUDLR,44957224,2026-07-12,yfinance_fast_info
GMRAIRPORT,10558975952,2026-07-12,yfinance_fast_info
GMRP&UI,781017529,2026-07-12,yfinance_fast_info
GNA,42930800,2026-07-12,yfinance_fast_info
GNFC,146940683,2026-07-12,yfinance_fast_info
GOACARBON,9151052,2026-07-12,yfinance_fast_info
GOCLCORP,49572490,2026-07-12,yfinance_fast_info
GOCOLORS,52595984,2026-07-12,yfinance_fast_info
GODAVARIB,51175977,2026-07-12,yfinance_fast_info
GODFRYPHLP,155981760,2026-07-12,yfinance_fast_info
GODIGIT,924287149,2026-07-12,yfinance_fast_info
GODREJAGRO,192359967,2026-07-12,yfinance_fast_info
GODREJCP,1023304953,2026-07-12,yfinance_fast_info
GODREJIND,336851055,2026-07-12,yfinance_fast_info
GODREJPROP,301225962,2026-07-12,yfinance_fast_info
GOKEX,73273628,2026-07-12,yfinance_fast_info
GOKUL,98995000,2026-07-12,yfinance_fast_info
GOKULAGRO,295086716,2026-07-12,yfinance_fast_info
GOLDIAM,150557125,2026-07-12,yfinance_fast_info
GOODLUCK,33238509,2026-07-12,yfinance_fast_info
GOODYEAR,23066507,2026-07-12,yfinance_fast_info
GOPAL,124666819,2026-07-12,yfinance_fast_info
GOYALALUM,142732780,2026-07-12,yfinance_fast_info
GPIL,650597430,2026-07-12,yfinance_fast_info
GPPL,483625818,2026-07-12,yfinance_fast_info
GPTHEALTH,82054823,2026-07-12,yfinance_fast_info
GPTINFRA,126364600,2026-07-12,yfinance_fast_info
GRANULES,247796921,2026-07-12,yfinance_fast_info
GRAPHITE,195375594,2026-07-12,yfinance_fast_info
GRASIM,678172811,2026-07-12,yfinance_fast_info
GRAUWEIL,453411500,2026-07-12,yfinance_fast_info
GRAVITA,72836912,2026-07-12,yfinance_fast_info
GREAVESCOT,232951434,2026-07-12,yfinance_fast_info
GREENLAM,255147702,2026-07-12,yfinance_fast_info
GREENPANEL,122627395,2026-07-12,yfinance_fast_info
GREENPLY,124902045,2026-07-12,yfinance_fast_info
GREENPOWER,1173031669,2026-07-12,yfinance_fast_info
GRINDWELL,110720000,2026-07-12,yfinance_fast_info
GRINFRA,96760529,2026-07-12,yfinance_fast_info
GRMOVER,207523860,2026-07-12,yfinance_fast_info
GROBTEA,1162330,2026-07-12,yfinance_fast_info
GROWW,6191576922,2026-07-12,yfinance_fast_info
GRPLTD,5333332,2026-07-12,yfinance_fast_info
GRSE,114552000,2026-07-12,yfinance_fast_info
GRWRHITECH,23232394,2026-07-12,yfinance_fast_info
GSFC,398477530,2026-07-12,yfinance_fast_info
GSLSU,42381818,2026-07-12,yfinance_fast_info
GSPCROP,46518750,2026-07-12,yfinance_fast_info
GTL,157296781,2026-07-12,yfinance_fast_info
GTLINFRA,12809111895,2026-07-12,yfinance_fast_info
GTPL,112463038,2026-07-12,yfinance_fast_info
GUFICBIO,100282506,2026-07-12,yfinance_fast_info
GUJALKALI,73436928,2026-07-12,yfinance_fast_info
GUJAPOLLO,12970000,2026-07-12,yfinance_fast_info
GUJTHEM,109162644,2026-07-12,yfinance_fast_info
GULFOILLUB,49516775,2026-07-12,yfinance_fast_info
GULPOLY,62183424,2026-07-12,yfinance_fast_info
GVPIL,67227471,2026-07-12,yfinance_fast_info
GVPTECH,164878778,2026-07-12,yfinance_fast_info
GVT&D,256046535,2026-07-12,yfinance_fast_info
HAL,668775000,2026-07-12,yfinance_fast_info
HALDER,12438135,2026-07-12,yfinance_fast_info
HALEOSLABS,3023287,2026-07-12,yfinance_fast_info
HAPPSTMNDS,150261936,2026-07-12,yfinance_fast_info
HAPPYFORGE,94378734,2026-07-12,yfinance_fast_info
HARDWYN,488434054,2026-07-12,yfinance_fast_info
HARIOMPIPE,30967289,2026-07-12,yfinance_fast_info
HARRMALAYA,18455405,2026-07-12,yfinance_fast_info
HARSHA,91044105,2026-07-12,yfinance_fast_info
HATHWAY,1770104500,2026-07-12,yfinance_fast_info
HATSUN,222748268,2026-07-12,yfinance_fast_info
HAVELLS,627256842,2026-07-12,yfinance_fast_info
HAVISHA,153535800,2026-07-12,yfinance_fast_info
HAWKINCOOK,5287815,2026-07-12,yfinance_fast_info
HBLENGINE,277194946,2026-07-12,yfinance_fast_info
HCC,2619468062,2026-07-12,yfinance_fast_info
HCG,149302203,2026-07-12,yfinance_fast_info
HCLTECH,2705766714,2026-07-12,yfinance_fast_info
HDBFS,828426506,2026-07-12,yfinance_fast_info
HDFCAMC,428653254,2026-07-12,yfinance_fast_info
HDFCBANK,15401207156,2026-07-12,yfinance_fast_info
HDFCLIFE,2171935147,2026-07-12,yfinance_fast_info
HEADSUP,22082609,2026-07-12,yfinance_fast_info
HEALTHX,31810500,2026-07-12,yfinance_fast_info
HECPROJECT,10838160,2026-07-12,yfinance_fast_info
HEG,192977530,2026-07-12,yfinance_fast_info
HEIDELBERG,226631309,2026-07-12,yfinance_fast_info
HEMIPROP,285124736,2026-07-12,yfinance_fast_info
HERANBA,40013467,2026-07-12,yfinance_fast_info
HERITGFOOD,92796000,2026-07-12,yfinance_fast_info
HEROMOTOCO,200092938,2026-07-12,yfinance_fast_info
HESTERBIO,8506865,2026-07-12,yfinance_fast_info
HEXATRADEX,55244704,2026-07-12,yfinance_fast_info
HEXT,609457182,2026-07-12,yfinance_fast_info
HFCL,1530263663,2026-07-12,yfinance_fast_info
HGINFRA,65171111,2026-07-12,yfinance_fast_info
HGM,12594972,2026-07-12,yfinance_fast_info
HGS,46520285,2026-07-12,yfinance_fast_info
HIKAL,123300750,2026-07-12,yfinance_fast_info
HIMATSEIDE,125742289,2026-07-12,yfinance_fast_info
HINDALCO,2219837078,2026-07-12,yfinance_fast_info
HINDCOMPOS,14769000,2026-07-12,yfinance_fast_info
HINDCOPPER,967024020,2026-07-12,yfinance_fast_info
HINDOILEXP,132243289,2026-07-12,yfinance_fast_info
HINDPETRO,2127822517,2026-07-12,yfinance_fast_info
HINDUNILVR,2349591262,2026-07-12,yfinance_fast_info
HINDWAREAP,83646357,2026-07-12,yfinance_fast_info
HINDZINC,4225319000,2026-07-12,yfinance_fast_info
HIRECT,34372239,2026-07-12,yfinance_fast_info
HISARMETAL,5400000,2026-07-12,yfinance_fast_info
HITECH,202710234,2026-07-12,yfinance_fast_info
HLEGLAS,69454739,2026-07-12,yfinance_fast_info
HLVLTD,659259899,2026-07-12,yfinance_fast_info
HMAAGRO,500769770,2026-07-12,yfinance_fast_info
HMVL,73514821,2026-07-12,yfinance_fast_info
HNDFDS,121162702,2026-07-12,yfinance_fast_info
HOMEFIRST,104525221,2026-07-12,yfinance_fast_info
HONASA,326024216,2026-07-12,yfinance_fast_info
HONAUT,8847359,2026-07-12,yfinance_fast_info
HONDAPOWER,10143071,2026-07-12,yfinance_fast_info
HPAL,91874735,2026-07-12,yfinance_fast_info
HPIL,11424110,2026-07-12,yfinance_fast_info
HPL,64300486,2026-07-12,yfinance_fast_info
HSCL,504560599,2026-07-12,yfinance_fast_info
HTMEDIA,231320042,2026-07-12,yfinance_fast_info
HUBTOWN,142100657,2026-07-12,yfinance_fast_info
HUDCO,2001900000,2026-07-12,yfinance_fast_info
HUHTAMAKI,75521934,2026-07-12,yfinance_fast_info
HYUNDAI,812541100,2026-07-12,yfinance_fast_info
ICDSLTD,13026700,2026-07-12,yfinance_fast_info
ICEMAKE,15779736,2026-07-12,yfinance_fast_info
ICICIAMC,494258520,2026-07-12,yfinance_fast_info
ICICIBANK,7173031233,2026-07-12,yfinance_fast_info
ICICIGI,499329702,2026-07-12,yfinance_fast_info
ICICIPRULI,1449752494,2026-07-12,yfinance_fast_info
ICIL,198054340,2026-07-12,yfinance_fast_info
ICRA,9625105,2026-07-12,yfinance_fast_info
IDBI,10752402175,2026-07-12,yfinance_fast_info
IDEA,108343035001,2026-07-12,yfinance_fast_info
IDFCFIRSTB,8614735794,2026-07-12,yfinance_fast_info
IEX,889727189,2026-07-12,yfinance_fast_info
IFBIND,40518796,2026-07-12,yfinance_fast_info
IFCI,2694314331,2026-07-12,yfinance_fast_info
IFGLEXPOR,72078624,2026-07-12,yfinance_fast_info
IGARASHI,31475048,2026-07-12,yfinance_fast_info
IGCL,63223997,2026-07-12,yfinance_fast_info
IGIL,432159696,2026-07-12,yfinance_fast_info
IGL,1400001600,2026-07-12,yfinance_fast_info
IGPL,30794850,2026-07-12,yfinance_fast_info
IIFL,425289575,2026-07-12,yfinance_fast_info
IIFLCAPS,313450564,2026-07-12,yfinance_fast_info
IITL,22547550,2026-07-12,yfinance_fast_info
IKIO,77280701,2026-07-12,yfinance_fast_info
IKS,167748478,2026-07-12,yfinance_fast_info
IMAGICAA,565861447,2026-07-12,yfinance_fast_info
IMFA,53954106,2026-07-12,yfinance_fast_info
IMPAL,12480000,2026-07-12,yfinance_fast_info
INA,220449375,2026-07-12,yfinance_fast_info
INCREDIBLE,46763750,2026-07-12,yfinance_fast_info
INDBANK,44378200,2026-07-12,yfinance_fast_info
INDGN,240901354,2026-07-12,yfinance_fast_info
INDHOTEL,1423432227,2026-07-12,yfinance_fast_info
INDIACEM,464845219,2026-07-12,yfinance_fast_info
INDIAGLYCO,67026765,2026-07-12,yfinance_fast_info
INDIAMART,60138656,2026-07-12,yfinance_fast_info
INDIANB,1346963981,2026-07-12,yfinance_fast_info
INDIANCARD,5941120,2026-07-12,yfinance_fast_info
INDIANHUME,52681770,2026-07-12,yfinance_fast_info
INDIASHLTR,108854555,2026-07-12,yfinance_fast_info
INDIGO,386666597,2026-07-12,yfinance_fast_info
INDIGOPNTS,47675662,2026-07-12,yfinance_fast_info
INDIQUBE,211997635,2026-07-12,yfinance_fast_info
INDNIPPON,22621424,2026-07-12,yfinance_fast_info
INDOBORAX,32090000,2026-07-12,yfinance_fast_info
INDOCO,92173705,2026-07-12,yfinance_fast_info
INDOFARM,48051600,2026-07-12,yfinance_fast_info
INDORAMA,261113151,2026-07-12,yfinance_fast_info
INDOSTAR,161585007,2026-07-12,yfinance_fast_info
INDOTHAI,128618190,2026-07-12,yfinance_fast_info
INDOUS,20052000,2026-07-12,yfinance_fast_info
INDRAMEDCO,91673000,2026-07-12,yfinance_fast_info
INDSWFTLAB,86961558,2026-07-12,yfinance_fast_info
INDTERRAIN,50667367,2026-07-12,yfinance_fast_info
INDUSINDBK,779132752,2026-07-12,yfinance_fast_info
INDUSTOWER,2637189804,2026-07-12,yfinance_fast_info
INFOBEAN,96959440,2026-07-12,yfinance_fast_info
INFOMEDIA,50194172,2026-07-12,yfinance_fast_info
INFY,4048927919,2026-07-12,yfinance_fast_info
INGERRAND,31568000,2026-07-12,yfinance_fast_info
INNOVACAP,57224929,2026-07-12,yfinance_fast_info
INNOVANA,20660000,2026-07-12,yfinance_fast_info
INNOVISION,23813294,2026-07-12,yfinance_fast_info
INOXGREEN,401492045,2026-07-12,yfinance_fast_info
INOXINDIA,90763500,2026-07-12,yfinance_fast_info
INOXWIND,1728237822,2026-07-12,yfinance_fast_info
INSECTICID,29097837,2026-07-12,yfinance_fast_info
INTELLECT,139233289,2026-07-12,yfinance_fast_info
INTENTECH,23356353,2026-07-12,yfinance_fast_info
INTERARCH,16771853,2026-07-12,yfinance_fast_info
INTLCONV,63781000,2026-07-12,yfinance_fast_info
INVENTURE,1050000000,2026-07-12,yfinance_fast_info
IOB,19256589795,2026-07-12,yfinance_fast_info
IOC,14121238383,2026-07-12,yfinance_fast_info
IOLCP,293527510,2026-07-12,yfinance_fast_info
IONEXCHANG,122930450,2026-07-12,yfinance_fast_info
IPCALAB,253704218,2026-07-12,yfinance_fast_info
IPL,115163508,2026-07-12,yfinance_fast_info
IRB,12078000000,2026-07-12,yfinance_fast_info
IRCON,940515740,2026-07-12,yfinance_fast_info
IRCTC,800000000,2026-07-12,yfinance_fast_info
IREDA,2809231268,2026-07-12,yfinance_fast_info
IRFC,13068506000,2026-07-12,yfinance_fast_info
IRIS,20568247,2026-07-12,yfinance_fast_info
IRISDOREME,170678411,2026-07-12,yfinance_fast_info
IRMENERGY,41059677,2026-07-12,yfinance_fast_info
ISFT,16311678,2026-07-12,yfinance_fast_info
ISGEC,73529510,2026-07-12,yfinance_fast_info
ISHANCH,27327529,2026-07-12,yfinance_fast_info
ITC,12529468231,2026-07-12,yfinance_fast_info
ITCHOTELS,2082976309,2026-07-12,yfinance_fast_info
ITDC,85769400,2026-07-12,yfinance_fast_info
ITI,962851967,2026-07-12,yfinance_fast_info
IVALUE,54630380,2026-07-12,yfinance_fast_info
IVC,314032740,2026-07-12,yfinance_fast_info
IXIGO,438669111,2026-07-12,yfinance_fast_info
IZMO,14962576,2026-07-12,yfinance_fast_info
J&KBANK,1101182463,2026-07-12,yfinance_fast_info
JAGRAN,217654272,2026-07-12,yfinance_fast_info
JAGSNPHARM,65835470,2026-07-12,yfinance_fast_info
JAICORPLTD,175504995,2026-07-12,yfinance_fast_info
JAINREC,345085814,2026-07-12,yfinance_fast_info
JAIPURKURT,17261606,2026-07-12,yfinance_fast_info
JAMNAAUTO,399985135,2026-07-12,yfinance_fast_info
JARO,22270387,2026-07-12,yfinance_fast_info
JASH,62905120,2026-07-12,yfinance_fast_info
JAYAGROGN,30000000,2026-07-12,yfinance_fast_info
JAYBARMARU,108250000,2026-07-12,yfinance_fast_info
JAYKAY,130287066,2026-07-12,yfinance_fast_info
JAYNECOIND,970998244,2026-07-12,yfinance_fast_info
JAYSREETEA,28877488,2026-07-12,yfinance_fast_info
JBCHEPHARM,160558706,2026-07-12,yfinance_fast_info
JBMA,236494264,2026-07-12,yfinance_fast_info
JGCHEM,39186063,2026-07-12,yfinance_fast_info
JHS,87405767,2026-07-12,yfinance_fast_info
JINDALPHOT,10297466,2026-07-12,yfinance_fast_info
JINDALPOLY,43786413,2026-07-12,yfinance_fast_info
JINDALSAW,637621094,2026-07-12,yfinance_fast_info
JINDALSTEL,1017488097,2026-07-12,yfinance_fast_info
JINDRILL,28981104,2026-07-12,yfinance_fast_info
JINDWORLD,1002602000,2026-07-12,yfinance_fast_info
JIOFIN,6603141623,2026-07-12,yfinance_fast_info
JISLDVREQS,733510251,2026-07-12,yfinance_fast_info
JISLJALEQS,733510251,2026-07-12,yfinance_fast_info
JITFINFRA,25703706,2026-07-12,yfinance_fast_info
JKCEMENT,77268251,2026-07-12,yfinance_fast_info
JKIL,75665506,2026-07-12,yfinance_fast_info
JKLAKSHMI,124144426,2026-07-12,yfinance_fast_info
JKPAPER,181318771,2026-07-12,yfinance_fast_info
JKTYRE,288289511,2026-07-12,yfinance_fast_info
JLHL,65566022,2026-07-12,yfinance_fast_info
JMA,22841054,2026-07-12,yfinance_fast_info
JMFINANCIL,956959936,2026-07-12,yfinance_fast_info
JNKINDIA,55953915,2026-07-12,yfinance_fast_info
JPOLYINVST,10511929,2026-07-12,yfinance_fast_info
JPPOWER,6853458827,2026-07-12,yfinance_fast_info
JSFB,105341046,2026-07-12,yfinance_fast_info
JSL,823949824,2026-07-12,yfinance_fast_info
JSLL,124300730,2026-07-12,yfinance_fast_info
JSWCEMENT,1341254801,2026-07-12,yfinance_fast_info
JSWDULUX,45540314,2026-07-12,yfinance_fast_info
JSWENERGY,1832381761,2026-07-12,yfinance_fast_info
JSWHL,11098438,2026-07-12,yfinance_fast_info
JSWINFRA,2315161753,2026-07-12,yfinance_fast_info
JSWSTEEL,2440826972,2026-07-12,yfinance_fast_info
JTEKTINDIA,277396890,2026-07-12,yfinance_fast_info
JTLIND,393081630,2026-07-12,yfinance_fast_info
JUBLCPL,15152493,2026-07-12,yfinance_fast_info
JUBLFOOD,657674557,2026-07-12,yfinance_fast_info
JUBLINGREA,157716549,2026-07-12,yfinance_fast_info
JUBLPHARMA,158387168,2026-07-12,yfinance_fast_info
JUNIPER,222502384,2026-07-12,yfinance_fast_info
JUSTDIAL,85049032,2026-07-12,yfinance_fast_info
JWL,427370389,2026-07-12,yfinance_fast_info
JYOTHYLAB,367214511,2026-07-12,yfinance_fast_info
JYOTICNC,227423096,2026-07-12,yfinance_fast_info
JYOTISTRUC,1193659937,2026-07-12,yfinance_fast_info
KABRAEXTRU,34972836,2026-07-12,yfinance_fast_info
KAJARIACER,159293050,2026-07-12,yfinance_fast_info
KALAMANDIR,147349967,2026-07-12,yfinance_fast_info
KALPATARU,205913993,2026-07-12,yfinance_fast_info
KALYANIFRG,3638000,2026-07-12,yfinance_fast_info
KALYANKJIL,1032740207,2026-07-12,yfinance_fast_info
KAMATHOTEL,29480072,2026-07-12,yfinance_fast_info
KAMOPAINTS,329000000,2026-07-12,yfinance_fast_info
KANANIIND,197868000,2026-07-12,yfinance_fast_info
KANPRPLA,24012458,2026-07-12,yfinance_fast_info
KANSAINER,808714470,2026-07-12,yfinance_fast_info
KAPSTON,30432184,2026-07-12,yfinance_fast_info
KARMAENG,11569918,2026-07-12,yfinance_fast_info
KARURVYSYA,966618947,2026-07-12,yfinance_fast_info
KAVDEFENCE,60124260,2026-07-12,yfinance_fast_info
KAYA,15187609,2026-07-12,yfinance_fast_info
KAYNES,67034654,2026-07-12,yfinance_fast_info
KCP,128921160,2026-07-12,yfinance_fast_info
KCPSUGIND,114282557,2026-07-12,yfinance_fast_info
KDDL,12299280,2026-07-12,yfinance_fast_info
KEC,266200000,2026-07-12,yfinance_fast_info
KEEPLEARN,155712083,2026-07-12,yfinance_fast_info
KEI,95600595,2026-07-12,yfinance_fast_info
KELLTONTEC,531404670,2026-07-12,yfinance_fast_info
KENNAMET,21978240,2026-07-12,yfinance_fast_info
KERNEX,16803622,2026-07-12,yfinance_fast_info
KEYFINSERV,5566637,2026-07-12,yfinance_fast_info
KFINTECH,172846295,2026-07-12,yfinance_fast_info
KHANDSE,15253805,2026-07-12,yfinance_fast_info
KICL,4365306,2026-07-12,yfinance_fast_info
KIMS,400138935,2026-07-12,yfinance_fast_info
KINGFA,13551381,2026-07-12,yfinance_fast_info
KIOCL,607751097,2026-07-12,yfinance_fast_info
KIRIINDUS,65168000,2026-07-12,yfinance_fast_info
KIRLFER,164992384,2026-07-12,yfinance_fast_info
KIRLOSBROS,79408926,2026-07-12,yfinance_fast_info
KIRLOSENG,145506298,2026-07-12,yfinance_fast_info
KIRLOSIND,10523269,2026-07-12,yfinance_fast_info
KIRLPNU,64963190,2026-07-12,yfinance_fast_info
KISSHT,168483022,2026-07-12,yfinance_fast_info
KITEX,199500000,2026-07-12,yfinance_fast_info
KKCL,61625185,2026-07-12,yfinance_fast_info
KMEW,24600000,2026-07-12,yfinance_fast_info
KMSUGAR,92000170,2026-07-12,yfinance_fast_info
KNACK,122365164,2026-07-12,yfinance_fast_info
KNAGRI,24998910,2026-07-12,yfinance_fast_info
KNRCON,281234600,2026-07-12,yfinance_fast_info
KOHINOOR,37071530,2026-07-12,yfinance_fast_info
KOKUYOCMLN,100303806,2026-07-12,yfinance_fast_info
KOLTEPATIL,88680094,2026-07-12,yfinance_fast_info
KOTAKBANK,9946464950,2026-07-12,yfinance_fast_info
KOTARISUG,82888581,2026-07-12,yfinance_fast_info
KOTHARIPET,58846400,2026-07-12,yfinance_fast_info
KOTHARIPRO,59687730,2026-07-12,yfinance_fast_info
KOVAI,10942262,2026-07-12,yfinance_fast_info
KPEL,67798099,2026-07-12,yfinance_fast_info
KPIGREEN,197671968,2026-07-12,yfinance_fast_info
KPIL,170772546,2026-07-12,yfinance_fast_info
KPITTECH,272227219,2026-07-12,yfinance_fast_info
KPRMILL,342522549,2026-07-12,yfinance_fast_info
KRBL,228889892,2026-07-12,yfinance_fast_info
KREBSBIO,21560586,2026-07-12,yfinance_fast_info
KRISHANA,309138000,2026-07-12,yfinance_fast_info
KRISHIVAL,25628301,2026-07-12,yfinance_fast_info
KRISHNADEF,14933388,2026-07-12,yfinance_fast_info
KRITIKA,266280000,2026-07-12,yfinance_fast_info
KRONOX,37104000,2026-07-12,yfinance_fast_info
KROSS,64509422,2026-07-12,yfinance_fast_info
KRSNAA,32438672,2026-07-12,yfinance_fast_info
KRYSTAL,13971952,2026-07-12,yfinance_fast_info
KSB,174039220,2026-07-12,yfinance_fast_info
KSCL,51040869,2026-07-12,yfinance_fast_info
KSHINTL,67755700,2026-07-12,yfinance_fast_info
KSL,43653060,2026-07-12,yfinance_fast_info
KSOLVES,23720400,2026-07-12,yfinance_fast_info
KSR,18378382,2026-07-12,yfinance_fast_info
KTKBANK,378181562,2026-07-12,yfinance_fast_info
KUANTUM,87263630,2026-07-12,yfinance_fast_info
KWIL,2349591263,2026-07-12,yfinance_fast_info
LAGNAM,17669000,2026-07-12,yfinance_fast_info
LAL,172736551,2026-07-12,yfinance_fast_info
